"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IGKV1-17",5.79383123439377,10.0791289237783,38.9474452382664,1.91098394883136e-20,2.52956945306807e-16,33.9578225718404
"IGKV1-37",5.20160415708556,9.45312815789868,31.6136700102093,1.19871660115864e-18,6.35496057696728e-15,31.0357662482971
"IGLV1-44",5.37084636095563,10.8047265374141,31.0748665522826,1.68370566177859e-18,6.35496057696728e-15,30.7790728693995
"IGKV1OR2-108",4.73663010826075,9.70303556390345,30.8686725578608,1.92036279427885e-18,6.35496057696728e-15,30.6790618884285
"CYAT1",5.10318670706447,11.2280197802674,25.8086848135971,6.50193051794997e-17,1.72132108532207e-13,27.8752307955731
"IGLC1",6.1088392797273,11.1080662135949,25.5398292648514,7.98157971169933e-17,1.7608695107294e-13,27.7050484655738
"IGHM",5.67712480008424,9.82219875571228,23.8671280011934,2.99742559275188e-16,5.6681317958938e-13,26.5900700860194
"AC128677.4",4.34819736564595,10.2997385622068,23.4185400592994,4.33788582422101e-16,6.38299113257495e-13,26.2736318795607
"IGHG1",6.42821240525406,11.1784972102433,23.4179887057005,4.33987460853476e-16,6.38299113257495e-13,26.2732381806997
"IGK",4.58842496113073,10.0690279270892,21.3040052151798,2.72078773689747e-15,3.60150672733118e-12,24.6719446995738
"IGJ",4.68614857763383,7.68817748534321,18.7865147531515,3.05298985664729e-14,3.67385697567638e-11,22.4948057771062
"NFIL3",-3.66510147355407,9.71187037509433,-18.0695437378582,6.41244427737565e-14,7.07346040830179e-11,21.8128478263821
"LOC101928620",3.84830508353581,7.89989698245444,16.5657960476367,3.32316633288434e-13,3.38375021141461e-10,20.280759704212
"SLC19A2",-3.07002739433269,7.33968960359279,-16.0657753293659,5.91201816418394e-13,5.58981317423592e-10,19.7382580160552
"IGLL3P",2.64690793248147,9.03782713121459,15.98801704915,6.47507488754979e-13,5.7140377524331e-10,19.6523174079289
"GADD45A",-2.71658586214446,10.1783809265624,-15.4913929353815,1.16827273741262e-12,9.66526639070675e-10,19.0930964362265
"CDKN1A",-2.08667908279713,11.0934313741052,-15.2657448565539,1.53575832627503e-12,1.1958137038178e-09,18.8329535216446
"PLBD1",1.29568156413969,10.1516068481927,14.6294541749578,3.38411671457724e-12,2.48864183060328e-09,18.0781520849403
"IGLJ3",3.88172136172824,8.74990096908123,14.4031014590468,4.51366795999891e-12,3.14460119928977e-09,17.8018181032845
"GUSBP11",2.49019198272365,10.4746047200215,14.3361888834545,4.91834962101229e-12,3.25520969666698e-09,17.7193212671888
"LRRC15",2.57359117139011,9.32308774141764,14.1059743937091,6.62564021438523e-12,4.17636188180082e-09,17.4326212273287
"IGLL5",3.3154865064495,9.83858422982703,13.73010454727,1.08718016021931e-11,6.54136535491953e-09,16.954772719588
"BIN2",1.09642732372929,7.75089609960163,13.6945745726767,1.13993573065903e-11,6.56057794205808e-09,16.9089642649458
"TNS3",1.63877745807008,10.2346235609712,13.6275165517652,1.24692129749896e-11,6.87729050624738e-09,16.8222018276862
